matcher_file	emitted_symbol	defining_header
transpiler/src/lossy_rewrite_emitter.cpp	and_oop	include/sturm/qtypes/lossy_oop.hpp
transpiler/src/lossy_rewrite_emitter.cpp	mul_oop	include/sturm/qtypes/lossy_oop.hpp
transpiler/src/lossy_rewrite_emitter.cpp	or_oop	include/sturm/qtypes/lossy_oop.hpp
transpiler/src/lossy_rewrite_emitter.cpp	qint_t	include/sturm/ops/qint_modular.hpp
transpiler/src/lossy_scope_exit_emitter.cpp	and_oop_adj	include/sturm/qtypes/lossy_oop.hpp
transpiler/src/lossy_scope_exit_emitter.cpp	divide_oop_adj	include/sturm/qtypes/lossy_oop.hpp
transpiler/src/lossy_scope_exit_emitter.cpp	invert	include/sturm/qtypes/lossy_oop.hpp
transpiler/src/lossy_scope_exit_emitter.cpp	lib_c_AND_dsl	include/sturm/lib/c_and_dsl.hpp
transpiler/src/lossy_scope_exit_emitter.cpp	lib_div_dsl	include/sturm/lib/div_dsl.hpp
transpiler/src/lossy_scope_exit_emitter.cpp	lib_mul_dsl	include/sturm/lib/mul_dsl.hpp
transpiler/src/lossy_scope_exit_emitter.cpp	lib_or_dsl	include/sturm/lib/compare_dsl.hpp
transpiler/src/lossy_scope_exit_emitter.cpp	mul_oop_adj	include/sturm/qtypes/lossy_oop.hpp
transpiler/src/lossy_scope_exit_emitter.cpp	or_oop_adj	include/sturm/qtypes/lossy_oop.hpp
transpiler/src/matcher_dropped_quantum_return.cpp	qbool	include/sturm/control/when_fwd.hpp
transpiler/src/matcher_dropped_quantum_return.cpp	qint_t	include/sturm/ops/qint_modular.hpp
transpiler/src/matcher_lossy_op.cpp	qint_t	include/sturm/ops/qint_modular.hpp
transpiler/src/matcher_modular_compound_collapse.cpp	qint_t	include/sturm/ops/qint_modular.hpp
transpiler/src/matcher_modular_op.cpp	qint_t	include/sturm/ops/qint_modular.hpp
transpiler/src/matcher_modular_pow_mod.cpp	qint_t	include/sturm/ops/qint_modular.hpp
transpiler/src/matcher_reversible_drive.cpp	invert	include/sturm/qtypes/lossy_oop.hpp
transpiler/src/matcher_reversible_validate.cpp	measure_qubit	include/sturm/core/measure.hpp
transpiler/src/matcher_reversible_validate.cpp	sturm_measure	<unknown>
transpiler/src/modular_rewrite_emitter.cpp	add_mod	include/sturm/ops/qint_modular.hpp
transpiler/src/modular_rewrite_emitter.cpp	mul_mod	include/sturm/ops/qint_modular.hpp
transpiler/src/modular_rewrite_emitter.cpp	pow_mod	include/sturm/ops/qint_modular.hpp
transpiler/src/modular_rewrite_emitter.cpp	qint_t	include/sturm/ops/qint_modular.hpp
